timestamp,status,cycle_time_ms,output_count,defect_flag
M02,Running,1363,4,False
M02,Running,1916,2,False
M01,Running,1247,4,False
M01,Running,2266,11,False
M07,Running,2006,5,False
M01,Running,1126,12,False
M05,Running,2363,6,False
M07,Running,1504,10,False
M01,Running,1898,2,False
M07,Running,1400,14,False
M06,Running,2242,2,True
M04,Running,963,14,False
M02,Running,1728,11,False
M03,Running,1229,11,False
M02,Running,1150,9,False
M03,Running,1352,15,False
M09,Running,1464,14,False
M01,Running,865,13,False
M05,Running,1961,15,False
M04,Running,1610,15,False
M08,Running,1085,4,False
M09,Running,1997,7,False
M07,Running,1083,9,False
M01,Idle,1113,11,False
M07,Running,1588,7,False
M08,Running,1933,14,False
M02,Running,1899,13,False
M06,Running,1690,3,False
M05,Maintenance,2360,3,False
M02,Idle,1411,14,False
M10,Running,1565,13,False
M09,Idle,2026,6,False
M02,Idle,2452,5,False
M04,Idle,961,2,False
M02,Maintenance,1890,13,False
M08,Idle,1138,5,False
M10,Running,1233,15,False
M04,Running,1617,11,False
M08,Idle,1724,2,False
M02,Running,2004,9,False
M04,Running,2249,11,False
M02,Idle,1476,2,False
M05,Running,1238,9,False
M10,Running,1297,13,False
M07,Running,998,11,False
M07,Running,2293,1,False
M02,Running,2291,6,False
M02,Running,1189,9,False
M07,Running,1747,4,False
M02,Running,1927,2,False
M09,Idle,991,15,False
M04,Running,1794,8,False
M07,Idle,1137,7,True
M07,Running,2405,13,False
M07,Running,2296,13,False
M08,Running,1407,4,False
M10,Running,924,12,False
M01,Running,1829,15,False
M03,Running,1840,2,False
M02,Running,2182,14,False
M02,Idle,1966,4,False
M01,Running,1658,11,False
M09,Running,1334,4,False
M06,Running,1610,3,False
M05,Running,2339,15,False
M08,Running,1953,2,False
M04,Running,1071,15,False
M02,Idle,1556,5,False
M09,Running,2052,13,False
M01,Running,1935,5,False
M02,Idle,1075,5,False
M02,Running,1118,5,False
M04,Running,1216,11,False
M05,Running,1314,15,False
M01,Running,1667,14,False
M01,Running,1067,11,False
M03,Running,1929,12,False
M01,Running,2215,15,False
M01,Idle,1992,9,False
M03,Running,1546,15,False
M01,Idle,1230,11,False
M02,Running,1946,15,False
M10,Running,1284,14,False
M03,Idle,850,3,False
M06,Running,1643,13,False
M04,Running,2412,12,False
M01,Idle,1255,4,False
M08,Running,2480,13,False
M04,Running,1195,7,False
M02,Maintenance,1371,6,False
M07,Running,1898,6,False
M02,Idle,1334,3,False
M05,Running,2021,7,False
M06,Running,1847,2,False
M10,Running,890,12,False
M09,Idle,1902,11,False
M04,Running,943,11,False
M10,Running,1055,12,False
M09,Running,1636,6,False
M05,Running,1192,7,False
M07,Running,1156,10,False
M07,Running,800,5,False
M07,Running,2042,11,False
M08,Running,1237,9,False
M03,Running,1381,9,False
M10,Running,2476,13,False
M05,Running,1207,3,True
M04,Maintenance,2051,14,False
M08,Running,2089,10,False
M07,Running,1299,3,False
M01,Idle,2377,15,False
M07,Running,2446,12,False
M01,Running,1048,8,False
M08,Running,1944,10,False
M08,Running,2273,15,False
M09,Running,1125,12,False
M08,Running,1306,14,False
M09,Running,1289,5,False
M05,Running,1487,6,False
M02,Running,1273,7,False
M04,Running,1634,6,False
M07,Running,1660,7,False
M10,Idle,840,14,False
M10,Running,812,6,False
M07,Idle,1658,9,False
M09,Running,1251,8,False
M07,Running,1596,6,False
M07,Running,1757,15,False
M10,Running,1606,10,False
M01,Running,1677,3,False
M03,Running,1576,6,False
M06,Running,1576,5,False
M07,Running,967,8,True
M09,Running,1516,4,False
M01,Running,1306,4,False
M10,Running,1058,8,False
M10,Idle,1752,12,False
M06,Running,2043,12,False
M03,Maintenance,1021,10,True
M05,Running,1568,7,False
M04,Running,2214,14,False
M02,Running,1417,14,False
M02,Running,1959,13,True
M09,Running,1558,2,False
M06,Running,1660,14,False
M07,Maintenance,2101,15,False
M03,Running,2302,9,False
M05,Running,1902,13,False
M07,Idle,2013,5,False
M04,Idle,977,5,False
