product_id,benchmark_efficiency_nm3_per_kwh,rated_power_kw
PROD-001,1.86,10
PROD-002,1.84,10
PROD-003,1.8,20
PROD-004,1.74,10
PROD-005,1.96,20
PROD-006,1.69,20
PROD-007,1.89,15
PROD-008,1.8,30
PROD-009,1.75,25
PROD-010,1.83,15
PROD-011,1.72,30
PROD-012,1.61,10
PROD-013,1.86,10
PROD-014,1.77,20
PROD-015,1.74,25
PROD-016,1.73,20
PROD-017,1.66,25
PROD-018,1.67,10
PROD-019,1.75,10
PROD-020,1.82,10
PROD-021,1.98,10
PROD-022,1.95,25
PROD-023,1.68,30
PROD-024,1.78,15
PROD-025,1.72,15
PROD-026,1.97,30
PROD-027,2.0,30
PROD-028,1.87,25
PROD-029,1.87,30
PROD-030,1.9,15
PROD-031,1.84,10
PROD-032,1.68,20
PROD-033,1.86,30
PROD-034,1.74,30
PROD-035,1.94,30
PROD-036,1.98,15
PROD-037,1.75,15
PROD-038,1.67,15
PROD-039,1.74,30
PROD-040,1.84,15
PROD-041,1.72,20
PROD-042,1.76,30
PROD-043,1.98,20
PROD-044,1.78,10
PROD-045,1.79,30
PROD-046,1.93,20
PROD-047,1.94,15
PROD-048,1.6,25
PROD-049,1.79,15
PROD-050,1.85,15
PROD-051,1.62,10
PROD-052,1.98,10
PROD-053,1.69,30
PROD-054,1.68,10
PROD-055,1.75,30
PROD-056,1.92,15
PROD-057,1.87,10
PROD-058,1.76,20
PROD-059,1.92,10
PROD-060,1.81,30
PROD-061,1.97,15
PROD-062,1.96,20
PROD-063,1.96,30
PROD-064,1.97,30
PROD-065,1.72,30
PROD-066,1.76,25
PROD-067,1.91,15
PROD-068,1.9,30
PROD-069,1.66,25
PROD-070,1.67,25
PROD-071,1.76,15
PROD-072,1.67,15
PROD-073,1.84,30
PROD-074,1.9,15
PROD-075,1.71,30
PROD-076,1.66,25
PROD-077,1.66,15
PROD-078,1.94,20
PROD-079,1.8,30
PROD-080,1.68,30
PROD-081,1.82,20
PROD-082,1.94,10
PROD-083,1.95,10
PROD-084,1.67,25
PROD-085,1.96,25
PROD-086,1.85,15
PROD-087,1.69,10
PROD-088,1.93,20
PROD-089,1.67,10
PROD-090,1.89,10
PROD-091,1.66,25
PROD-092,1.87,25
PROD-093,1.6,25
PROD-094,1.89,30
PROD-095,1.82,25
PROD-096,1.65,25
PROD-097,1.68,15
PROD-098,1.9,10
PROD-099,1.91,20
PROD-100,1.71,10
