order_id,product_id,start_time,end_time,planned_qty,actual_qty
ORD-0001,PROD-001,2025-09-03 22:01:56,2025-09-03 23:01:56,216,202
ORD-0002,PROD-002,2026-05-11 19:49:50,2026-05-12 00:49:50,349,337
ORD-0003,PROD-003,2025-10-03 08:33:02,2025-10-03 16:33:02,464,450
ORD-0004,PROD-004,2026-02-28 04:00:23,2026-02-28 10:00:23,204,190
ORD-0005,PROD-005,2025-10-30 06:05:36,2025-10-30 09:05:36,312,311
ORD-0006,PROD-006,2026-03-16 13:22:20,2026-03-16 17:22:20,174,154
ORD-0007,PROD-007,2025-12-14 23:12:35,2025-12-15 01:12:35,251,240
ORD-0008,PROD-008,2026-04-24 21:55:47,2026-04-24 22:55:47,279,265
ORD-0009,PROD-009,2026-02-12 12:16:09,2026-02-12 19:16:09,434,421
ORD-0010,PROD-010,2026-03-02 19:19:50,2026-03-02 21:19:50,406,397
ORD-0011,PROD-011,2026-01-04 01:47:24,2026-01-04 07:47:24,362,345
ORD-0012,PROD-012,2025-12-10 13:54:53,2025-12-10 21:54:53,120,105
ORD-0013,PROD-013,2025-10-16 23:42:20,2025-10-17 01:42:20,280,270
ORD-0014,PROD-014,2026-02-05 05:54:11,2026-02-05 09:54:11,258,242
ORD-0015,PROD-015,2026-07-30 23:08:31,2026-07-31 02:08:31,105,102
ORD-0016,PROD-016,2026-03-05 18:37:58,2026-03-05 21:37:58,481,464
ORD-0017,PROD-017,2025-12-21 16:14:51,2025-12-21 21:14:51,130,130
ORD-0018,PROD-018,2026-03-10 21:09:50,2026-03-11 01:09:50,422,406
ORD-0019,PROD-019,2025-12-26 07:43:21,2025-12-26 13:43:21,112,98
ORD-0020,PROD-020,2026-04-30 05:04:49,2026-04-30 12:04:49,271,252
ORD-0021,PROD-021,2026-06-06 12:59:41,2026-06-06 20:59:41,277,258
ORD-0022,PROD-022,2026-07-13 16:39:13,2026-07-13 22:39:13,245,234
