product_id,component_id,quantity,component_version
PROD-001,COMP-001,2,v3.0
PROD-001,COMP-024,2,v3.0
PROD-001,COMP-009,7,v1.0
PROD-001,COMP-008,1,v1.0
PROD-001,COMP-005,4,v1.1
PROD-002,COMP-018,4,v2.1
PROD-002,COMP-007,10,v2.0
PROD-002,COMP-023,1,v1.1
PROD-002,COMP-021,7,v2.0
PROD-002,COMP-014,5,v1.1
PROD-003,COMP-025,6,v2.0
PROD-003,COMP-011,10,v2.0
PROD-003,COMP-004,1,v2.1
PROD-003,COMP-003,9,v1.0
PROD-003,COMP-013,7,v1.0
PROD-003,COMP-028,9,v2.0
PROD-004,COMP-019,5,v1.0
PROD-004,COMP-007,4,v1.0
PROD-004,COMP-023,7,v2.0
PROD-004,COMP-003,8,v2.0
PROD-004,COMP-002,3,v2.0
PROD-004,COMP-022,6,v1.1
PROD-004,COMP-008,5,v1.0
PROD-005,COMP-018,5,v3.0
PROD-005,COMP-024,4,v2.0
PROD-005,COMP-008,1,v1.1
PROD-005,COMP-006,1,v2.0
PROD-005,COMP-015,7,v2.0
PROD-005,COMP-013,2,v1.1
PROD-006,COMP-007,5,v1.1
PROD-006,COMP-021,4,v3.0
PROD-006,COMP-016,9,v2.0
PROD-006,COMP-013,10,v2.1
PROD-006,COMP-029,10,v2.1
PROD-006,COMP-015,6,v1.1
PROD-006,COMP-005,3,v3.0
PROD-007,COMP-003,7,v3.0
PROD-007,COMP-025,2,v2.1
PROD-007,COMP-002,7,v3.0
PROD-007,COMP-004,8,v3.0
PROD-007,COMP-005,5,v3.0
PROD-007,COMP-021,1,v1.0
PROD-007,COMP-006,9,v2.0
PROD-007,COMP-022,6,v1.0
PROD-008,COMP-014,9,v1.1
PROD-008,COMP-006,9,v1.0
PROD-008,COMP-015,5,v3.0
PROD-008,COMP-001,10,v1.1
PROD-008,COMP-024,3,v2.0
PROD-008,COMP-026,3,v3.0
PROD-008,COMP-009,9,v1.0
PROD-009,COMP-016,1,v1.1
PROD-009,COMP-001,10,v1.0
PROD-009,COMP-004,2,v2.1
PROD-009,COMP-012,2,v3.0
PROD-009,COMP-026,3,v1.1
PROD-009,COMP-010,8,v3.0
PROD-009,COMP-008,3,v2.0
PROD-010,COMP-007,7,v2.0
PROD-010,COMP-018,8,v3.0
PROD-010,COMP-025,8,v1.0
PROD-010,COMP-024,4,v1.1
PROD-010,COMP-023,2,v2.0
PROD-010,COMP-030,1,v3.0
PROD-010,COMP-026,9,v1.1
PROD-010,COMP-010,10,v1.1
