"product_id","year","week","total_actual","total_planned","fulfillment_rate"
"PROD-065",2026,28,478,490,0.9755
"PROD-072",2026,29,210,210,1.0000
"PROD-076",2026,29,275,275,1.0000
"PROD-086",2026,29,327,329,0.9939
"PROD-059",2026,29,424,427,0.9930
"PROD-065",2026,29,269,272,0.9890
"PROD-071",2026,29,490,499,0.9820
"PROD-043",2026,29,204,208,0.9808
"PROD-003",2026,29,381,392,0.9719
"PROD-068",2026,29,359,371,0.9677
"PROD-050",2026,29,371,385,0.9636
"PROD-034",2026,29,762,794,0.9597
"PROD-022",2026,29,234,245,0.9551
"PROD-024",2026,29,111,127,0.8740
"PROD-088",2026,30,472,474,0.9958
"PROD-015",2026,30,485,498,0.9739
"PROD-028",2026,30,216,222,0.9730
"PROD-060",2026,30,311,323,0.9628
"PROD-095",2026,30,294,311,0.9453
"PROD-078",2026,30,154,170,0.9059
"PROD-049",2026,30,169,187,0.9037
"PROD-057",2026,30,230,267,0.8614
"PROD-080",2026,31,471,471,1.0000
"PROD-093",2026,31,402,405,0.9926
"PROD-097",2026,31,456,460,0.9913
"PROD-075",2026,31,466,471,0.9894
"PROD-040",2026,31,482,491,0.9817
"PROD-059",2026,31,467,477,0.9790
"PROD-015",2026,31,102,105,0.9714
"PROD-083",2026,31,691,722,0.9571
"PROD-069",2026,31,130,138,0.9420
"PROD-005",2026,31,176,187,0.9412
"PROD-089",2026,31,107,122,0.8770
"PROD-088",2026,31,82,101,0.8119
"PROD-027",2026,32,668,678,0.9853
"PROD-055",2026,32,307,312,0.9840
"PROD-093",2026,32,236,242,0.9752
"PROD-091",2026,32,390,400,0.9750
"PROD-026",2026,32,417,428,0.9743
"PROD-016",2026,32,135,139,0.9712
"PROD-050",2026,32,343,355,0.9662
"PROD-096",2026,32,478,496,0.9637
"PROD-074",2026,32,473,492,0.9614
"PROD-084",2026,32,399,415,0.9614
"PROD-020",2026,32,370,385,0.9610
"PROD-069",2026,32,216,225,0.9600
"PROD-049",2026,32,229,239,0.9582
"PROD-008",2026,32,431,451,0.9557
"PROD-025",2026,32,178,190,0.9368
"PROD-099",2026,32,138,153,0.9020
"PROD-073",2026,32,127,147,0.8639
"PROD-013",2026,33,282,285,0.9895
