"change_id","product_id","request_date","downtime_events_before","downtime_minutes_before","downtime_events_after","downtime_minutes_after","downtime_trend","downtime_change_percent"
"ECN-118","PROD-073","2026-07-31",6,517.00,11,1515.00,"Increased",193.04
"ECN-109","PROD-051","2026-07-26",5,636.00,10,1422.00,"Increased",123.58
"ECN-111","PROD-002","2026-07-23",4,677.00,5,486.00,"Decreased",-28.21
"ECN-024","PROD-004","2026-07-20",4,549.00,5,522.00,"Decreased",-4.92
"ECN-014","PROD-008","2026-07-19",4,521.00,5,636.00,"Increased",22.07
"ECN-093","PROD-057","2026-07-18",4,521.00,4,579.00,"Increased",11.13
"ECN-038","PROD-032","2026-07-07",9,1212.00,5,960.00,"Decreased",-20.79
"ECN-072","PROD-081","2026-06-27",4,376.00,6,797.00,"Increased",111.97
"ECN-120","PROD-066","2026-06-22",6,684.00,6,602.00,"Decreased",-11.99
"ECN-127","PROD-047","2026-06-21",6,684.00,4,376.00,"Decreased",-45.03
"ECN-086","PROD-039","2026-06-20",6,684.00,4,376.00,"Decreased",-45.03
"ECN-016","PROD-091","2026-06-20",6,684.00,4,376.00,"Decreased",-45.03
"ECN-146","PROD-087","2026-06-17",3,317.00,6,540.00,"Increased",70.35
"ECN-095","PROD-035","2026-06-16",3,317.00,5,464.00,"Increased",46.37
"ECN-049","PROD-084","2026-06-08",6,999.00,1,62.00,"Decreased",-93.79
"ECN-098","PROD-007","2026-05-24",8,996.00,6,678.00,"Decreased",-31.93
"ECN-121","PROD-086","2026-05-16",4,630.00,8,996.00,"Increased",58.10
"ECN-006","PROD-012","2026-05-09",8,1173.00,4,630.00,"Decreased",-46.29
"ECN-133","PROD-078","2026-05-04",7,901.00,6,1101.00,"Increased",22.20
"ECN-122","PROD-018","2026-04-27",6,1062.00,7,901.00,"Decreased",-15.16
"ECN-054","PROD-037","2026-04-16",3,377.00,8,1218.00,"Increased",223.08
"ECN-003","PROD-004","2026-04-03",3,405.00,3,258.00,"Decreased",-36.30
"ECN-076","PROD-053","2026-03-28",3,465.00,3,405.00,"Decreased",-12.90
"ECN-002","PROD-018","2026-03-28",3,465.00,3,405.00,"Decreased",-12.90
"ECN-137","PROD-068","2026-03-26",3,556.00,2,193.00,"Decreased",-65.29
"ECN-105","PROD-012","2026-03-24",8,950.00,2,272.00,"Decreased",-71.37
"ECN-135","PROD-086","2026-03-22",9,945.00,3,465.00,"Decreased",-50.79
"ECN-047","PROD-028","2026-03-19",13,1286.00,3,556.00,"Decreased",-56.77
"ECN-074","PROD-090","2026-03-15",8,795.00,9,945.00,"Increased",18.87
"ECN-035","PROD-045","2026-03-12",8,1011.00,13,1286.00,"Increased",27.20
"ECN-031","PROD-010","2026-03-10",11,1409.00,8,726.00,"Decreased",-48.47
"ECN-069","PROD-093","2026-02-19",7,1084.00,6,1118.00,"Increased",3.14
"ECN-087","PROD-089","2026-02-18",9,1346.00,5,1007.00,"Decreased",-25.19
"ECN-071","PROD-075","2026-01-20",10,1523.00,2,246.00,"Decreased",-83.85
"ECN-068","PROD-054","2026-01-19",7,1098.00,4,532.00,"Decreased",-51.55
"ECN-140","PROD-020","2026-01-03",6,552.00,7,980.00,"Increased",77.54
"ECN-020","PROD-039","2025-12-31",4,476.00,10,1205.00,"Increased",153.15
"ECN-025","PROD-083","2025-12-21",5,694.00,2,263.00,"Decreased",-62.10
"ECN-099","PROD-092","2025-12-18",6,757.00,2,279.00,"Decreased",-63.14
"ECN-052","PROD-047","2025-12-09",6,808.00,4,569.00,"Decreased",-29.58
"ECN-096","PROD-079","2025-12-07",6,627.00,5,808.00,"Increased",28.87
"ECN-101","PROD-071","2025-11-25",6,734.00,4,508.00,"Decreased",-30.79
"ECN-057","PROD-013","2025-11-15",9,1097.00,5,850.00,"Decreased",-22.52
"ECN-061","PROD-043","2025-11-14",9,1102.00,6,988.00,"Decreased",-10.34
"ECN-036","PROD-048","2025-11-06",6,693.00,9,1236.00,"Increased",78.35
"ECN-128","PROD-016","2025-10-23",5,569.00,7,966.00,"Increased",69.77
"ECN-015","PROD-039","2025-10-23",5,569.00,7,966.00,"Increased",69.77
"ECN-032","PROD-054","2025-10-19",3,359.00,8,1086.00,"Increased",202.51
"ECN-065","PROD-065","2025-10-12",6,534.00,3,359.00,"Decreased",-32.77
"ECN-142","PROD-027","2025-10-10",8,827.00,3,359.00,"Decreased",-56.59
"ECN-033","PROD-044","2025-10-01",1,180.00,7,762.00,"Increased",323.33
"ECN-073","PROD-088","2025-09-30",1,180.00,5,666.00,"Increased",270.00
"ECN-136","PROD-088","2025-09-26",2,385.00,1,70.00,"Decreased",-81.82
"ECN-063","PROD-079","2025-09-23",5,681.00,1,180.00,"Decreased",-73.57
"ECN-145","PROD-059","2025-09-22",6,825.00,1,180.00,"Decreased",-78.18
"ECN-092","PROD-092","2025-09-07",5,888.00,7,943.00,"Increased",6.19
"ECN-100","PROD-099","2025-09-07",5,888.00,7,943.00,"Increased",6.19
"ECN-021","PROD-022","2025-08-31",6,1084.00,5,888.00,"Decreased",-18.08
"ECN-045","PROD-064","2025-08-27",4,658.00,8,1471.00,"Increased",123.56
"ECN-115","PROD-015","2025-08-23",5,614.00,8,1382.00,"Increased",125.08
"ECN-132","PROD-062","2025-08-21",8,1128.00,5,847.00,"Decreased",-24.91
"ECN-141","PROD-067","2025-08-13",0,0.00,10,1373.00,"Increased",NULL
"ECN-062","PROD-020","2025-08-07",0,0.00,2,245.00,"Increased",NULL
"ECN-026","PROD-099","2025-07-31",0,0.00,0,0.00,"No Change",NULL
"ECN-083","PROD-087","2025-07-27",0,0.00,0,0.00,"No Change",NULL
"ECN-081","PROD-041","2025-07-12",0,0.00,0,0.00,"No Change",NULL
"ECN-037","PROD-060","2025-07-07",0,0.00,0,0.00,"No Change",NULL
"ECN-148","PROD-096","2025-07-03",0,0.00,0,0.00,"No Change",NULL
"ECN-056","PROD-080","2025-07-02",0,0.00,0,0.00,"No Change",NULL
"ECN-010","PROD-083","2025-06-16",0,0.00,0,0.00,"No Change",NULL
"ECN-059","PROD-026","2025-06-03",0,0.00,0,0.00,"No Change",NULL
"ECN-060","PROD-006","2025-06-01",0,0.00,0,0.00,"No Change",NULL
"ECN-078","PROD-095","2025-04-30",0,0.00,0,0.00,"No Change",NULL
"ECN-114","PROD-018","2025-04-17",0,0.00,0,0.00,"No Change",NULL
"ECN-018","PROD-033","2025-04-10",0,0.00,0,0.00,"No Change",NULL
"ECN-123","PROD-032","2025-04-04",0,0.00,0,0.00,"No Change",NULL
"ECN-097","PROD-086","2025-03-28",0,0.00,0,0.00,"No Change",NULL
"ECN-080","PROD-085","2025-03-24",0,0.00,0,0.00,"No Change",NULL
