"product_id","change_id","request_date","defect_before","defect_after"
"PROD-014","ECN-112","2024-08-09",NULL,0.015873015873015872
"PROD-025","ECN-084","2024-08-11",NULL,0.0
"PROD-048","ECN-067","2024-08-17",NULL,0.0
"PROD-059","ECN-116","2024-08-24",NULL,0.075
"PROD-092","ECN-007","2024-09-02",NULL,0.0
"PROD-037","ECN-048","2024-09-14",NULL,NULL
"PROD-043","ECN-125","2024-09-22",NULL,0.0
"PROD-044","ECN-058","2024-09-27",NULL,0.0
"PROD-100","ECN-012","2024-09-29",NULL,0.0
"PROD-071","ECN-134","2024-10-01",NULL,0.0
"PROD-052","ECN-129","2024-10-09",NULL,0.0
"PROD-082","ECN-130","2024-10-14",NULL,0.0
"PROD-002","ECN-050","2024-11-02",NULL,0.0
"PROD-067","ECN-079","2024-11-03",NULL,0.0
"PROD-002","ECN-117","2024-11-03",NULL,0.0
"PROD-034","ECN-070","2024-11-05",NULL,0.0
"PROD-073","ECN-138","2024-11-14",NULL,0.02857142857142857
"PROD-071","ECN-139","2024-11-16",NULL,0.0
"PROD-039","ECN-029","2024-11-25",NULL,0.0
"PROD-097","ECN-103","2024-12-05",NULL,0.0
"PROD-034","ECN-051","2024-12-05",NULL,0.0
"PROD-069","ECN-082","2024-12-09",NULL,0.08333333333333333
"PROD-073","ECN-053","2024-12-11",NULL,0.02857142857142857
"PROD-019","ECN-091","2024-12-25",NULL,0.013591800356506237
"PROD-061","ECN-102","2025-01-10",NULL,0.0
"PROD-017","ECN-013","2025-01-19",NULL,0.0
"PROD-006","ECN-149","2025-01-20",NULL,0.0
"PROD-071","ECN-019","2025-01-21",NULL,0.0
"PROD-093","ECN-042","2025-01-26",NULL,0.011111111111111112
"PROD-071","ECN-005","2025-02-02",NULL,0.0
"PROD-031","ECN-124","2025-02-10",NULL,0.0
"PROD-074","ECN-126","2025-02-12",NULL,0.0
"PROD-088","ECN-030","2025-02-16",NULL,0.0
"PROD-079","ECN-064","2025-02-20",NULL,0.0
"PROD-092","ECN-034","2025-03-01",NULL,0.0
"PROD-045","ECN-088","2025-03-01",NULL,0.0
"PROD-070","ECN-028","2025-03-02",NULL,0.0
"PROD-059","ECN-144","2025-03-02",NULL,0.075
"PROD-088","ECN-011","2025-03-04",NULL,0.0
"PROD-057","ECN-075","2025-03-04",NULL,0.0
"PROD-085","ECN-080","2025-03-24",NULL,0.0
"PROD-086","ECN-097","2025-03-28",NULL,0.0
"PROD-032","ECN-123","2025-04-04",NULL,0.0
"PROD-033","ECN-018","2025-04-10",NULL,0.0
"PROD-018","ECN-114","2025-04-17",NULL,0.025
"PROD-095","ECN-078","2025-04-30",NULL,0.0
"PROD-006","ECN-060","2025-06-01",NULL,0.0
"PROD-026","ECN-059","2025-06-03",NULL,0.0
"PROD-083","ECN-010","2025-06-16",NULL,0.0
"PROD-080","ECN-056","2025-07-02",NULL,0.0
"PROD-096","ECN-148","2025-07-03",NULL,0.0
"PROD-060","ECN-037","2025-07-07",NULL,0.0
"PROD-041","ECN-081","2025-07-12",NULL,0.0
"PROD-087","ECN-083","2025-07-27",NULL,0.0
"PROD-099","ECN-026","2025-07-31",NULL,0.025641025641025644
"PROD-020","ECN-062","2025-08-07",NULL,0.0
"PROD-067","ECN-141","2025-08-13",NULL,0.0
"PROD-062","ECN-132","2025-08-21",NULL,0.0
"PROD-015","ECN-115","2025-08-23",NULL,0.03125
