"product_id","avg_availability","avg_performance","avg_quality","avg_oee"
"PROD-041",1.0000,0.0116,1.0000,0.0233
"PROD-035",1.0000,0.0202,1.0000,0.0337
"PROD-088",0.9190,0.0267,1.0000,0.0382
"PROD-064",1.0000,0.0302,1.0000,0.0402
"PROD-046",1.0000,0.0102,1.0000,0.0407
"PROD-087",1.0000,0.0429,1.0000,0.0429
"PROD-010",1.0000,0.0304,1.0000,0.0455
"PROD-042",1.0000,0.0341,1.0000,0.0455
"PROD-029",0.8554,0.0576,1.0000,0.0462
"PROD-079",0.7008,0.0957,1.0000,0.0485
"PROD-073",0.9809,0.0455,0.9714,0.0520
"PROD-055",0.9338,0.0428,0.9583,0.0549
"PROD-095",1.0000,0.0434,1.0000,0.0578
"PROD-034",0.9608,0.0485,1.0000,0.0590
"PROD-045",1.0000,0.0462,1.0000,0.0616
"PROD-028",1.0000,0.0354,0.9953,0.0630
"PROD-061",1.0000,0.0474,1.0000,0.0632
"PROD-094",0.9449,0.0630,1.0000,0.0669
"PROD-075",1.0000,0.0709,1.0000,0.0709
"PROD-091",0.8573,0.1150,1.0000,0.0742
"PROD-081",0.9633,0.0515,0.9855,0.0745
"PROD-047",1.0000,0.0498,1.0000,0.0747
"PROD-063",1.0000,0.0772,0.9844,0.0758
"PROD-023",1.0000,0.0513,1.0000,0.0769
"PROD-062",1.0000,0.0577,1.0000,0.0769
"PROD-033",1.0000,0.0578,1.0000,0.0771
"PROD-022",1.0000,0.0259,1.0000,0.0776
"PROD-066",1.0000,0.0398,1.0000,0.0795
"PROD-092",0.9846,0.0515,1.0000,0.0831
"PROD-027",1.0000,0.0607,1.0000,0.0850
"PROD-080",1.0000,0.0569,1.0000,0.0853
"PROD-068",0.9886,0.0719,0.9964,0.0858
"PROD-076",0.9383,0.0643,1.0000,0.0862
"PROD-040",1.0000,0.0640,0.9644,0.0869
"PROD-078",0.9722,0.0499,1.0000,0.0870
"PROD-011",1.0000,0.0436,1.0000,0.0872
"PROD-048",1.0000,0.0875,1.0000,0.0875
"PROD-093",0.9529,0.0752,0.9889,0.0897
"PROD-065",0.9395,0.0755,1.0000,0.0902
"PROD-031",1.0000,0.0457,1.0000,0.0914
"PROD-060",0.8833,0.0938,1.0000,0.0919
"PROD-003",1.0000,0.0498,0.9881,0.0984
"PROD-085",0.9260,0.0688,1.0000,0.0986
"PROD-039",1.0000,0.0996,1.0000,0.0996
"PROD-026",1.0000,0.0846,1.0000,0.1015
"PROD-015",1.0000,0.0727,0.9688,0.1034
"PROD-017",1.0000,0.0351,1.0000,0.1054
"PROD-032",1.0000,0.0542,1.0000,0.1084
"PROD-009",1.0000,0.0555,1.0000,0.1110
"PROD-008",0.9010,0.1031,1.0000,0.1123
"PROD-072",1.0000,0.0848,1.0000,0.1131
"PROD-038",1.0000,0.0710,1.0000,0.1183
"PROD-007",1.0000,0.0875,0.9947,0.1216
"PROD-005",1.0000,0.0731,1.0000,0.1219
"PROD-053",1.0000,0.0750,0.9778,0.1236
"PROD-056",1.0000,0.1089,1.0000,0.1270
"PROD-013",1.0000,0.0654,0.9762,0.1272
"PROD-067",1.0000,0.0985,1.0000,0.1314
"PROD-074",1.0000,0.0998,1.0000,0.1331
"PROD-069",1.0000,0.1341,0.9167,0.1333
"PROD-099",1.0000,0.1061,0.9744,0.1390
"PROD-016",1.0000,0.1120,0.9919,0.1391
"PROD-014",1.0000,0.0946,0.9841,0.1395
"PROD-043",1.0000,0.1185,1.0000,0.1481
"PROD-084",1.0000,0.0988,1.0000,0.1482
"PROD-006",1.0000,0.0993,1.0000,0.1490
"PROD-086",1.0000,0.0856,1.0000,0.1498
"PROD-089",1.0000,0.1518,1.0000,0.1518
"PROD-082",1.0000,0.1534,1.0000,0.1534
"PROD-070",1.0000,0.0778,1.0000,0.1557
"PROD-096",0.9262,0.1046,1.0000,0.1561
"PROD-036",0.9699,0.1345,0.9897,0.1613
"PROD-025",1.0000,0.1437,1.0000,0.1643
"PROD-018",0.9425,0.1763,0.9750,0.1667
"PROD-097",1.0000,0.1258,1.0000,0.1761
"PROD-021",1.0000,0.1761,1.0000,0.1761
"PROD-019",0.9347,0.1473,0.9864,0.1840
"PROD-077",1.0000,0.1227,1.0000,0.1841
"PROD-083",1.0000,0.1871,1.0000,0.1871
"PROD-059",0.9625,0.1567,0.9250,0.1879
"PROD-058",1.0000,0.1454,0.9740,0.1888
"PROD-001",1.0000,0.1205,0.9583,0.1948
"PROD-012",1.0000,0.2019,0.9912,0.1993
"PROD-050",0.9733,0.2132,1.0000,0.2073
"PROD-004",0.7062,0.1152,1.0000,0.2114
"PROD-049",0.8410,0.2045,1.0000,0.2117
"PROD-024",1.0000,0.2226,1.0000,0.2226
"PROD-044",0.9711,0.2330,1.0000,0.2297
"PROD-051",1.0000,0.1607,0.9722,0.2371
"PROD-071",0.8648,0.2080,1.0000,0.2500
"PROD-052",1.0000,0.2091,1.0000,0.2788
"PROD-057",0.8971,0.1658,1.0000,0.2811
"PROD-054",1.0000,0.3189,1.0000,0.3189
"PROD-020",1.0000,0.1934,1.0000,0.3223
"PROD-002",1.0000,0.1630,1.0000,0.3261
"PROD-030",1.0000,0.3421,1.0000,0.3421
"PROD-100",1.0000,0.2364,1.0000,0.3545
"PROD-098",1.0000,0.3673,0.9869,0.3614
"PROD-090",1.0000,0.1323,1.0000,0.7937
"PROD-037",1.0000,0.0000,NULL,NULL
