"production_date","total_orders","active_products","total_planned_qty","total_actual_qty","total_defects","fulfillment_rate","avg_defect_rate","avg_oee"
"2025-08-01 00:00:00+05:30",23,21,7256,7059,0,0.9729,0.0000,0.1129
"2025-09-01 00:00:00+05:30",36,28,11558,11231,5,0.9717,0.0364,0.1201
"2025-10-01 00:00:00+05:30",39,35,11971,11605,3,0.9694,0.0054,0.1538
"2025-11-01 00:00:00+05:30",47,38,13786,13320,6,0.9662,0.0065,0.1176
"2025-12-01 00:00:00+05:30",41,38,10688,10337,4,0.9672,0.0040,0.1893
"2026-01-01 00:00:00+05:30",39,33,11715,11307,0,0.9652,0.0000,0.1262
"2026-02-01 00:00:00+05:30",36,28,10593,10223,3,0.9651,0.0085,0.1642
"2026-03-01 00:00:00+05:30",50,40,15133,14656,8,0.9685,0.0170,0.1497
"2026-04-01 00:00:00+05:30",40,31,11269,10885,2,0.9659,0.0037,0.1263
"2026-05-01 00:00:00+05:30",51,40,15049,14519,1,0.9648,0.0009,0.1075
"2026-06-01 00:00:00+05:30",35,27,10926,10610,1,0.9711,0.0025,0.1489
"2026-07-01 00:00:00+05:30",39,32,11745,11337,1,0.9653,0.0009,0.1407
"2026-08-01 00:00:00+05:30",24,22,7905,7648,2,0.9675,0.0167,0.0871
