"product_id","total_planned_qty","total_actual_qty","production_gap","production_gap_percentage"
"PROD-014",2231,2123,108,4.84
"PROD-006",2377,2270,107,4.50
"PROD-093",3402,3301,101,2.97
"PROD-036",2227,2129,98,4.40
"PROD-068",3525,3431,94,2.67
"PROD-025",2428,2334,94,3.87
"PROD-028",2819,2733,86,3.05
"PROD-069",1556,1477,79,5.08
"PROD-003",2506,2427,79,3.15
"PROD-083",2025,1947,78,3.85
"PROD-044",2649,2572,77,2.91
"PROD-097",2557,2480,77,3.01
"PROD-040",2158,2081,77,3.57
"PROD-020",1631,1554,77,4.72
"PROD-078",1778,1704,74,4.16
"PROD-018",1270,1197,73,5.75
"PROD-090",2099,2026,73,3.48
"PROD-089",2179,2107,72,3.30
"PROD-094",2353,2281,72,3.06
"PROD-033",1868,1798,70,3.75
"PROD-034",1835,1766,69,3.76
"PROD-073",1489,1420,69,4.63
"PROD-061",2680,2611,69,2.57
"PROD-096",1731,1665,66,3.81
"PROD-057",861,795,66,7.67
"PROD-022",1807,1743,64,3.54
"PROD-088",2005,1943,62,3.09
"PROD-079",1796,1735,61,3.40
"PROD-098",1239,1178,61,4.92
"PROD-019",2056,1995,61,2.97
"PROD-049",754,694,60,7.96
"PROD-067",975,915,60,6.15
"PROD-056",2384,2324,60,2.52
"PROD-091",1913,1854,59,3.08
"PROD-086",1624,1566,58,3.57
"PROD-038",1180,1123,57,4.83
"PROD-050",1967,1911,56,2.85
"PROD-007",2070,2014,56,2.71
"PROD-001",1599,1543,56,3.50
"PROD-027",1553,1497,56,3.61
"PROD-029",1434,1379,55,3.84
"PROD-008",1444,1392,52,3.60
"PROD-031",1990,1938,52,2.61
"PROD-015",1462,1412,50,3.42
"PROD-043",1454,1404,50,3.44
"PROD-005",1251,1202,49,3.92
"PROD-016",1751,1702,49,2.80
"PROD-095",1051,1003,48,4.57
"PROD-058",1105,1058,47,4.25
"PROD-011",1177,1130,47,3.99
"PROD-046",1570,1525,45,2.87
"PROD-064",1283,1238,45,3.51
"PROD-051",1728,1683,45,2.60
"PROD-074",1330,1285,45,3.38
"PROD-026",2026,1981,45,2.22
"PROD-012",485,441,44,9.07
"PROD-085",2130,2086,44,2.07
"PROD-024",680,637,43,6.32
"PROD-092",1515,1473,42,2.77
"PROD-060",1071,1030,41,3.83
"PROD-023",1080,1039,41,3.80
"PROD-035",1417,1377,40,2.82
"PROD-047",2400,2361,39,1.63
"PROD-053",1456,1417,39,2.68
"PROD-071",2198,2160,38,1.73
"PROD-055",1477,1439,38,2.57
"PROD-100",1036,999,37,3.57
"PROD-076",1185,1149,36,3.04
"PROD-032",952,917,35,3.68
"PROD-045",1418,1384,34,2.40
"PROD-021",921,888,33,3.58
"PROD-013",1959,1928,31,1.58
"PROD-077",919,888,31,3.37
"PROD-099",892,861,31,3.48
"PROD-004",1729,1699,30,1.74
"PROD-009",776,747,29,3.74
"PROD-002",754,726,28,3.71
"PROD-062",1049,1023,26,2.48
"PROD-065",1608,1582,26,1.62
"PROD-052",872,847,25,2.87
"PROD-081",1780,1755,25,1.40
"PROD-084",1044,1019,25,2.39
"PROD-042",1007,982,25,2.48
"PROD-041",937,912,25,2.67
"PROD-010",1024,1000,24,2.34
"PROD-059",1722,1698,24,1.39
"PROD-054",881,858,23,2.61
"PROD-072",1244,1221,23,1.85
"PROD-087",498,475,23,4.62
"PROD-030",147,128,19,12.93
"PROD-082",514,496,18,3.50
"PROD-075",1035,1018,17,1.64
"PROD-066",720,704,16,2.22
"PROD-063",600,584,16,2.67
"PROD-039",472,457,15,3.18
"PROD-070",435,421,14,3.22
"PROD-048",111,98,13,11.71
"PROD-017",791,782,9,1.14
"PROD-080",1234,1228,6,0.49
"PROD-037",207,207,0,0.00
