"product_id","total_orders","total_planned_qty","total_actual_qty","total_defects"
"PROD-001",5,1599,1543,1
"PROD-002",2,754,726,0
"PROD-003",6,2506,2427,1
"PROD-004",5,1729,1699,0
"PROD-005",5,1251,1202,0
"PROD-006",9,2377,2270,0
"PROD-007",7,2070,2014,1
"PROD-008",5,1444,1392,0
"PROD-009",2,776,747,0
"PROD-010",3,1024,1000,0
"PROD-011",4,1177,1130,0
"PROD-012",3,485,441,1
"PROD-013",6,1959,1928,1
"PROD-014",9,2231,2123,2
"PROD-015",6,1462,1412,1
"PROD-016",5,1751,1702,1
"PROD-017",3,791,782,0
"PROD-018",5,1270,1197,1
"PROD-019",8,2056,1995,2
"PROD-020",5,1631,1554,0
"PROD-021",4,921,888,0
"PROD-022",6,1807,1743,0
"PROD-023",3,1080,1039,0
"PROD-024",3,680,637,0
"PROD-025",8,2428,2334,0
"PROD-026",6,2026,1981,0
"PROD-027",7,1553,1497,0
"PROD-028",9,2819,2733,1
"PROD-029",5,1434,1379,0
"PROD-030",1,147,128,0
"PROD-031",6,1990,1938,0
"PROD-032",4,952,917,0
"PROD-033",8,1868,1798,0
"PROD-034",5,1835,1766,0
"PROD-035",5,1417,1377,0
"PROD-036",8,2227,2129,2
"PROD-037",1,207,207,0
"PROD-038",5,1180,1123,0
"PROD-039",1,472,457,0
"PROD-040",7,2158,2081,2
"PROD-041",2,937,912,0
"PROD-042",4,1007,982,0
"PROD-043",5,1454,1404,0
"PROD-044",7,2649,2572,0
"PROD-045",4,1418,1384,0
"PROD-046",4,1570,1525,0
"PROD-047",6,2400,2361,0
"PROD-048",1,111,98,0
"PROD-049",4,754,694,0
"PROD-050",5,1967,1911,0
"PROD-051",6,1728,1683,2
"PROD-052",4,872,847,0
"PROD-053",5,1456,1417,1
"PROD-054",3,881,858,0
"PROD-055",5,1477,1439,1
"PROD-056",7,2384,2324,0
"PROD-057",5,861,795,0
"PROD-058",4,1105,1058,2
"PROD-059",4,1722,1698,2
"PROD-060",4,1071,1030,0
"PROD-061",8,2680,2611,0
"PROD-062",4,1049,1023,0
"PROD-063",2,600,584,1
"PROD-064",4,1283,1238,0
"PROD-065",5,1608,1582,0
"PROD-066",2,720,704,0
"PROD-067",4,975,915,0
"PROD-068",11,3525,3431,1
"PROD-069",6,1556,1477,1
"PROD-070",2,435,421,0
"PROD-071",6,2198,2160,0
"PROD-072",4,1244,1221,0
"PROD-073",6,1489,1420,2
"PROD-074",4,1330,1285,0
"PROD-075",3,1035,1018,0
"PROD-076",5,1185,1149,0
"PROD-077",3,919,888,0
"PROD-078",7,1778,1704,0
"PROD-079",5,1796,1735,0
"PROD-080",3,1234,1228,0
"PROD-081",5,1780,1755,1
"PROD-082",2,514,496,0
"PROD-083",7,2025,1947,0
"PROD-084",3,1044,1019,0
"PROD-085",5,2130,2086,0
"PROD-086",7,1624,1566,0
"PROD-087",2,498,475,0
"PROD-088",6,2005,1943,0
"PROD-089",7,2179,2107,0
"PROD-090",6,2099,2026,0
"PROD-091",5,1913,1854,0
"PROD-092",5,1515,1473,0
"PROD-093",11,3402,3301,1
"PROD-094",7,2353,2281,0
"PROD-095",4,1051,1003,0
"PROD-096",7,1731,1665,0
"PROD-097",7,2557,2480,0
"PROD-098",6,1239,1178,2
"PROD-099",4,892,861,2
"PROD-100",6,1036,999,0
